[Epoch 1] started
[Epoch 1] Step 10/10587 | Loss: 0.1702 | ETA: 25:04:43
[Epoch 1] Step 20/10587 | Loss: 0.2448 | ETA: 14:13:53
[Epoch 1] Step 30/10587 | Loss: 0.1511 | ETA: 10:38:24
[Epoch 1] Step 40/10587 | Loss: 0.0853 | ETA: 08:43:52
[Epoch 1] Step 50/10587 | Loss: 0.1910 | ETA: 07:39:18
[Epoch 1] Step 60/10587 | Loss: 0.1380 | ETA: 06:55:53
[Epoch 1] Step 70/10587 | Loss: 0.1463 | ETA: 06:24:39
[Epoch 1] Step 80/10587 | Loss: 0.1224 | ETA: 06:00:29
[Epoch 1] Step 90/10587 | Loss: 0.1222 | ETA: 05:40:54
[Epoch 1] Step 100/10587 | Loss: 0.1881 | ETA: 05:27:54
[Epoch 1] Step 110/10587 | Loss: 0.0628 | ETA: 05:19:17
[Epoch 1] Step 120/10587 | Loss: 0.1172 | ETA: 05:08:10
[Epoch 1] Step 130/10587 | Loss: 0.0719 | ETA: 04:58:50
[Epoch 1] Step 140/10587 | Loss: 0.1246 | ETA: 04:49:52
[Epoch 1] Step 150/10587 | Loss: 1.2272 | ETA: 04:42:44
[Epoch 1] Step 160/10587 | Loss: 0.1177 | ETA: 04:36:51
[Epoch 1] Step 170/10587 | Loss: 0.1421 | ETA: 04:31:44
[Epoch 1] Step 180/10587 | Loss: 0.1099 | ETA: 04:27:12
[Epoch 1] Step 190/10587 | Loss: 0.0734 | ETA: 04:22:11
[Epoch 1] Step 200/10587 | Loss: 0.0574 | ETA: 04:18:15
[Epoch 1] Step 210/10587 | Loss: 0.0907 | ETA: 04:15:01
[Epoch 1] Step 220/10587 | Loss: 0.0685 | ETA: 04:12:00
[Epoch 1] Step 230/10587 | Loss: 0.0595 | ETA: 04:09:00
[Epoch 1] Step 240/10587 | Loss: 0.4786 | ETA: 04:05:50
[Epoch 1] Step 250/10587 | Loss: 0.0958 | ETA: 04:03:16
[Epoch 1] Step 260/10587 | Loss: 0.1409 | ETA: 04:00:37
[Epoch 1] Step 270/10587 | Loss: 0.0584 | ETA: 03:58:29
[Epoch 1] Step 280/10587 | Loss: 0.0456 | ETA: 03:56:19
[Epoch 1] Step 290/10587 | Loss: 0.1817 | ETA: 03:54:29
[Epoch 1] Step 300/10587 | Loss: 0.0762 | ETA: 03:52:27
[Epoch 1] Step 310/10587 | Loss: 0.0589 | ETA: 03:50:36
[Epoch 1] Step 320/10587 | Loss: 0.1538 | ETA: 03:48:46
[Epoch 1] Step 330/10587 | Loss: 0.1079 | ETA: 03:47:07
[Epoch 1] Step 340/10587 | Loss: 0.0819 | ETA: 03:45:37
[Epoch 1] Step 350/10587 | Loss: 0.0786 | ETA: 03:44:39
[Epoch 1] Step 360/10587 | Loss: 0.0869 | ETA: 03:43:13
[Epoch 1] Step 370/10587 | Loss: 0.0849 | ETA: 03:42:01
[Epoch 1] Step 380/10587 | Loss: 0.0683 | ETA: 03:41:13
[Epoch 1] Step 390/10587 | Loss: 0.0774 | ETA: 03:39:51
[Epoch 1] Step 400/10587 | Loss: 0.1142 | ETA: 03:39:00
[Epoch 1] Step 410/10587 | Loss: 0.1037 | ETA: 03:37:44
[Epoch 1] Step 420/10587 | Loss: 0.1176 | ETA: 03:36:39
[Epoch 1] Step 430/10587 | Loss: 0.0659 | ETA: 03:35:33
[Epoch 1] Step 440/10587 | Loss: 0.0527 | ETA: 03:34:44
[Epoch 1] Step 450/10587 | Loss: 0.1019 | ETA: 03:34:47
[Epoch 1] Step 460/10587 | Loss: 0.0934 | ETA: 03:33:50
[Epoch 1] Step 470/10587 | Loss: 0.1010 | ETA: 03:33:13
[Epoch 1] Step 480/10587 | Loss: 0.0783 | ETA: 03:32:32
[Epoch 1] Step 490/10587 | Loss: 0.0994 | ETA: 03:32:06
[Epoch 1] Step 500/10587 | Loss: 0.1373 | ETA: 03:31:22
[Epoch 1] Step 510/10587 | Loss: 0.0754 | ETA: 03:30:44
[Epoch 1] Step 520/10587 | Loss: 0.0835 | ETA: 03:30:01
[Epoch 1] Step 530/10587 | Loss: 0.0711 | ETA: 03:29:14
[Epoch 1] Step 540/10587 | Loss: 0.0700 | ETA: 03:28:28
[Epoch 1] Step 550/10587 | Loss: 0.1292 | ETA: 03:27:48
[Epoch 1] Step 560/10587 | Loss: 0.0666 | ETA: 03:26:59
[Epoch 1] Step 570/10587 | Loss: 0.1978 | ETA: 03:26:15
[Epoch 1] Step 580/10587 | Loss: 0.0549 | ETA: 03:25:32
[Epoch 1] Step 590/10587 | Loss: 0.0736 | ETA: 03:24:57
[Epoch 1] Step 600/10587 | Loss: 0.0799 | ETA: 03:24:15
[Epoch 1] Step 610/10587 | Loss: 0.0412 | ETA: 03:23:32
[Epoch 1] Step 620/10587 | Loss: 0.1968 | ETA: 03:23:07
[Epoch 1] Step 630/10587 | Loss: 0.1139 | ETA: 03:22:43
[Epoch 1] Step 640/10587 | Loss: 0.1140 | ETA: 03:22:04
[Epoch 1] Step 650/10587 | Loss: 0.1051 | ETA: 03:21:22
[Epoch 1] Step 660/10587 | Loss: 0.1372 | ETA: 03:20:43
[Epoch 1] Step 670/10587 | Loss: 0.1163 | ETA: 03:20:14
[Epoch 1] Step 680/10587 | Loss: 0.1100 | ETA: 03:19:44
[Epoch 1] Step 690/10587 | Loss: 0.1569 | ETA: 03:19:14
[Epoch 1] Step 700/10587 | Loss: 0.0691 | ETA: 03:18:38
[Epoch 1] Step 710/10587 | Loss: 0.0641 | ETA: 03:18:04
[Epoch 1] Step 720/10587 | Loss: 0.2599 | ETA: 03:17:34
[Epoch 1] Step 730/10587 | Loss: 0.0876 | ETA: 03:17:05
